playerName,season,total_points,total_games,avg_points_per_game
A.C. Green,1985-86,521.0,82,6.353658536585366
A.C. Green,1986-87,852.0,79,10.784810126582279
A.C. Green,1987-88,937.0,82,11.426829268292684
A.C. Green,1988-89,1088.0,82,13.268292682926829
A.C. Green,1989-90,1061.0,82,12.939024390243903
A.C. Green,1990-91,750.0,82,9.146341463414634
A.C. Green,1991-92,1116.0,82,13.609756097560975
A.C. Green,1992-93,1051.0,82,12.817073170731707
A.C. Green,1993-94,1204.0,82,14.682926829268293
A.C. Green,1994-95,916.0,82,11.170731707317072
A.C. Green,1995-96,612.0,82,7.463414634146342
A.C. Green,1996-97,597.0,83,7.192771084337349
A.C. Green,1997-98,600.0,82,7.317073170731708
A.C. Green,1998-99,246.0,49,5.020408163265306
A.C. Green,1999-00,413.0,82,5.036585365853658
A.C. Green,2000-01,367.0,82,4.475609756097561
A.J. Bramlett,1999-00,8.0,8,1.0
A.J. English,1990-91,616.0,70,8.8
A.J. English,1991-92,886.0,81,10.938271604938272
A.J. Guyton,2000-01,198.0,32,6.1875
A.J. Guyton,2001-02,244.0,43,5.674418604651163
A.J. Guyton,2002-03,0.0,1,0.0
A.J. Lawson,2022-23,56.0,11,5.090909090909091
A.J. Lawson,2023-24,134.0,35,3.8285714285714287
A.J. Lawson,2024-25,236.0,26,9.076923076923077
A.J. Lawson,2025-26,14.0,3,4.666666666666667
A.J. Wynder,1990-91,12.0,6,2.0
AJ Green,2022-23,154.0,33,4.666666666666667
AJ Green,2023-24,252.0,53,4.754716981132075
AJ Green,2024-25,544.0,73,7.4520547945205475
AJ Green,2025-26,336.0,33,10.181818181818182
AJ Griffin,2022-23,639.0,72,8.875
AJ Griffin,2023-24,48.0,20,2.4
AJ Hammons,2016-17,48.0,20,2.4
AJ Johnson,2024-25,208.0,29,7.172413793103448
AJ Johnson,2025-26,23.0,18,1.2777777777777777
AJ Price,2009-10,410.0,56,7.321428571428571
AJ Price,2010-11,323.0,50,6.46
AJ Price,2011-12,172.0,43,4.0
AJ Price,2012-13,441.0,57,7.7368421052631575
AJ Price,2013-14,44.0,25,1.76
AJ Price,2014-15,133.0,25,5.32
Aaron Brooks,2007-08,264.0,50,5.28
Aaron Brooks,2008-09,894.0,80,11.175
Aaron Brooks,2009-10,1604.0,82,19.5609756097561
Aaron Brooks,2010-11,634.0,59,10.745762711864407
Aaron Brooks,2012-13,376.0,53,7.09433962264151
Aaron Brooks,2013-14,645.0,68,9.485294117647058
