firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,season,playerName
Donovan,Mitchell,1628378,22301174,2024-04-12 19:30:00,Cleveland,Cavaliers,Indiana,Pacers,Regular Season,,,,1,1,37.0,33.0,5.0,0.0,4.0,27.0,12.0,0.444,10.0,4.0,0.4,5.0,5.0,1.0,2.0,2.0,4.0,2.0,1.0,12.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22301158,2024-04-10 19:00:00,Cleveland,Cavaliers,Memphis,Grizzlies,Regular Season,,,,1,1,33.0,29.0,8.0,1.0,3.0,17.0,9.0,0.529,10.0,5.0,0.5,7.0,6.0,0.857,3.0,1.0,4.0,2.0,3.0,2.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22301127,2024-04-06 15:30:00,Cleveland,Cavaliers,Los Angeles,Lakers,Regular Season,,,,0,0,38.0,10.0,7.0,2.0,3.0,13.0,4.0,0.308,9.0,2.0,0.222,2.0,0.0,0.0,5.0,0.0,5.0,2.0,5.0,10.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22301110,2024-04-03 22:00:00,Cleveland,Cavaliers,Phoenix,Suns,Regular Season,,,,0,0,37.0,24.0,2.0,2.0,2.0,17.0,8.0,0.471,7.0,2.0,0.286,6.0,6.0,1.0,3.0,0.0,3.0,1.0,1.0,-8.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22301077,2024-03-31 15:30:00,Cleveland,Cavaliers,Denver,Nuggets,Regular Season,,,,0,0,30.0,13.0,6.0,0.0,1.0,12.0,3.0,0.25,6.0,2.0,0.333,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,-27.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22301067,2024-03-29 19:30:00,Cleveland,Cavaliers,Philadelphia,76ers,Regular Season,,,,1,1,32.0,12.0,8.0,0.0,2.0,13.0,4.0,0.308,7.0,1.0,0.143,3.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,-7.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300967,2024-03-16 17:00:00,Cleveland,Cavaliers,Houston,Rockets,Regular Season,,,,0,0,25.0,13.0,2.0,0.0,1.0,13.0,4.0,0.308,8.0,3.0,0.375,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,-15.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300951,2024-03-13 20:00:00,Cleveland,Cavaliers,New Orleans,Pelicans,Regular Season,,,,1,0,27.0,14.0,5.0,1.0,0.0,16.0,5.0,0.313,9.0,4.0,0.444,0.0,0.0,0.0,3.0,1.0,4.0,2.0,2.0,-6.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300846,2024-02-28 20:00:00,Cleveland,Cavaliers,Chicago,Bulls,Regular Season,,,,0,0,44.0,19.0,3.0,0.0,0.0,13.0,5.0,0.385,9.0,4.0,0.444,7.0,5.0,0.714,5.0,0.0,5.0,5.0,5.0,-4.0,2023-24,Donovan Mitchell
Donovan,Mitchell,1628378,22300832,2024-02-27 19:00:00,Cleveland,Cavaliers,Dallas,Mavericks,Regular Season,,,,1,1,38.0,31.0,6.0,1.0,0.0,20.0,11.0,0.55,11.0,7.0,0.636,3.0,2.0,0.667,7.0,0.0,7.0,3.0,7.0,-14.0,2023-24,Donovan Mitchell
