firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,playerName,day,season
LeBron,James,2544,42000156,2021-06-03 22:30:00,Los Angeles,Lakers,Phoenix,Suns,Playoffs,West - First Round,,6.0,0,1,41.0,29.0,7.0,2.0,2.0,26.0,11.0,0.423,10.0,3.0,0.3,6.0,4.0,0.667,7.0,2.0,9.0,1.0,3.0,-3.0,LeBron James,3,2020-21
LeBron,James,2544,42000155,2021-06-01 22:00:00,Los Angeles,Lakers,Phoenix,Suns,Playoffs,West - First Round,,5.0,0,0,31.0,24.0,7.0,0.0,0.0,19.0,9.0,0.474,10.0,6.0,0.6,0.0,0.0,0.0,4.0,1.0,5.0,1.0,3.0,-24.0,LeBron James,1,2020-21
LeBron,James,2544,42000154,2021-05-30 15:30:00,Los Angeles,Lakers,Phoenix,Suns,Playoffs,West - First Round,,4.0,0,1,37.0,25.0,6.0,0.0,1.0,21.0,10.0,0.476,7.0,1.0,0.143,7.0,4.0,0.571,10.0,2.0,12.0,1.0,6.0,6.0,LeBron James,30,2020-21
LeBron,James,2544,42000153,2021-05-27 22:00:00,Los Angeles,Lakers,Phoenix,Suns,Playoffs,West - First Round,,3.0,1,1,37.0,21.0,9.0,0.0,1.0,19.0,9.0,0.474,5.0,1.0,0.2,3.0,2.0,0.667,5.0,1.0,6.0,0.0,7.0,15.0,LeBron James,27,2020-21
LeBron,James,2544,42000152,2021-05-25 22:00:00,Los Angeles,Lakers,Phoenix,Suns,Playoffs,West - First Round,,2.0,1,0,38.0,23.0,9.0,0.0,2.0,16.0,9.0,0.563,9.0,4.0,0.444,1.0,1.0,1.0,4.0,0.0,4.0,3.0,1.0,14.0,LeBron James,25,2020-21
LeBron,James,2544,42000151,2021-05-23 15:30:00,Los Angeles,Lakers,Phoenix,Suns,Playoffs,West - First Round,,1.0,0,0,36.0,18.0,10.0,0.0,3.0,13.0,6.0,0.462,7.0,3.0,0.429,6.0,3.0,0.5,6.0,1.0,7.0,1.0,5.0,2.0,LeBron James,23,2020-21
LeBron,James,2544,52000121,2021-05-19 22:00:00,Los Angeles,Lakers,Golden State,Warriors,Play-in Tournament,West Play-In,,,1,1,34.0,22.0,10.0,1.0,2.0,17.0,7.0,0.412,4.0,2.0,0.5,9.0,6.0,0.667,7.0,4.0,11.0,2.0,1.0,13.0,LeBron James,19,2020-21
LeBron,James,2544,22001072,2021-05-16 21:00:00,Los Angeles,Lakers,New Orleans,Pelicans,Regular Season,,,,1,0,27.0,25.0,6.0,0.0,3.0,22.0,11.0,0.5,5.0,2.0,0.4,2.0,1.0,0.5,0.0,1.0,1.0,0.0,2.0,-2.0,LeBron James,16,2020-21
LeBron,James,2544,22001061,2021-05-15 13:00:00,Los Angeles,Lakers,Indiana,Pacers,Regular Season,,,,1,0,28.0,24.0,8.0,0.0,0.0,22.0,11.0,0.5,4.0,1.0,0.25,2.0,1.0,0.5,4.0,3.0,7.0,2.0,4.0,7.0,LeBron James,15,2020-21
LeBron,James,2544,22000974,2021-05-02 22:00:00,Los Angeles,Lakers,Toronto,Raptors,Regular Season,,,,0,1,27.0,19.0,6.0,0.0,0.0,11.0,6.0,0.545,5.0,2.0,0.4,7.0,5.0,0.714,7.0,0.0,7.0,2.0,5.0,-4.0,LeBron James,2,2020-21
LeBron,James,2544,22000956,2021-04-30 22:30:00,Los Angeles,Lakers,Sacramento,Kings,Regular Season,,,,0,1,31.0,16.0,7.0,1.0,2.0,12.0,6.0,0.5,5.0,1.0,0.2,5.0,3.0,0.6,7.0,1.0,8.0,1.0,5.0,5.0,LeBron James,30,2020-21
LeBron,James,2544,22000640,2021-03-20 15:30:00,Los Angeles,Lakers,Atlanta,Hawks,Regular Season,,,,0,1,10.0,10.0,4.0,0.0,0.0,6.0,3.0,0.5,2.0,1.0,0.5,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,-5.0,LeBron James,20,2020-21
LeBron,James,2544,22000630,2021-03-18 22:30:00,Los Angeles,Lakers,Charlotte,Hornets,Regular Season,,,,1,1,36.0,37.0,6.0,1.0,1.0,23.0,14.0,0.609,9.0,4.0,0.444,6.0,5.0,0.833,7.0,1.0,8.0,2.0,3.0,7.0,LeBron James,18,2020-21
LeBron,James,2544,22000615,2021-03-16 22:30:00,Los Angeles,Lakers,Minnesota,Timberwolves,Regular Season,,,,1,1,31.0,25.0,12.0,1.0,0.0,14.0,8.0,0.571,7.0,4.0,0.571,5.0,5.0,1.0,11.0,1.0,12.0,0.0,4.0,0.0,LeBron James,16,2020-21
LeBron,James,2544,22000608,2021-03-15 22:30:00,Los Angeles,Lakers,Golden State,Warriors,Regular Season,,,,1,0,30.0,22.0,11.0,0.0,0.0,13.0,8.0,0.615,4.0,2.0,0.5,6.0,4.0,0.667,9.0,1.0,10.0,3.0,6.0,33.0,LeBron James,15,2020-21
