firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,season,playerName
LeBron,James,2544,22500514,2026-01-06 15:00:00,Los Angeles,Lakers,New Orleans,Pelicans,Regular Season,,,,1,0,33.09,30.0,8.0,1.0,2.0,19.0,10.0,0.526,5.0,3.0,0.6,7.0,7.0,1.0,8.0,0.0,8.0,2.0,1.0,10.0,2025-26,LeBron James
LeBron,James,2544,22500501,2026-01-04 16:30:00,Los Angeles,Lakers,Memphis,Grizzlies,Regular Season,,,,1,1,37.17,26.0,10.0,0.0,1.0,14.0,8.0,0.571,7.0,2.0,0.286,10.0,8.0,0.8,7.0,0.0,7.0,2.0,1.0,6.0,2025-26,LeBron James
LeBron,James,2544,22500485,2026-01-02 17:30:00,Los Angeles,Lakers,Memphis,Grizzlies,Regular Season,,,,1,1,36.04,31.0,6.0,0.0,0.0,18.0,12.0,0.667,5.0,1.0,0.2,6.0,6.0,1.0,9.0,0.0,9.0,3.0,4.0,11.0,2025-26,LeBron James
LeBron,James,2544,22500460,2025-12-30 17:30:00,Los Angeles,Lakers,Detroit,Pistons,Regular Season,,,,0,1,31.55,17.0,4.0,1.0,1.0,17.0,6.0,0.353,10.0,3.0,0.3,5.0,2.0,0.4,4.0,0.0,4.0,1.0,5.0,-16.0,2025-26,LeBron James
LeBron,James,2544,22500446,2025-12-28 16:30:00,Los Angeles,Lakers,Sacramento,Kings,Regular Season,,,,1,1,28.38,24.0,5.0,0.0,2.0,13.0,11.0,0.846,2.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,20.0,2025-26,LeBron James
LeBron,James,2544,22500012,2025-12-25 15:00:00,Los Angeles,Lakers,Houston,Rockets,Regular Season,,,,0,1,32.26,18.0,5.0,1.0,2.0,13.0,7.0,0.538,3.0,1.0,0.333,4.0,3.0,0.75,2.0,0.0,2.0,3.0,3.0,-33.0,2025-26,LeBron James
LeBron,James,2544,22500418,2025-12-23 16:00:00,Los Angeles,Lakers,Phoenix,Suns,Regular Season,,,,0,0,25.46,23.0,6.0,0.0,0.0,14.0,7.0,0.5,5.0,3.0,0.6,11.0,6.0,0.545,2.0,0.0,2.0,0.0,0.0,-18.0,2025-26,LeBron James
LeBron,James,2544,22500395,2025-12-20 17:30:00,Los Angeles,Lakers,LA,Clippers,Regular Season,,,,0,0,37.37,36.0,3.0,1.0,2.0,28.0,15.0,0.536,7.0,3.0,0.429,5.0,3.0,0.6,3.0,1.0,4.0,1.0,3.0,-6.0,2025-26,LeBron James
LeBron,James,2544,22500379,2025-12-18 16:00:00,Los Angeles,Lakers,Utah,Jazz,Regular Season,,,,1,0,32.37,28.0,10.0,0.0,1.0,17.0,8.0,0.471,5.0,0.0,0.0,13.0,12.0,0.923,6.0,1.0,7.0,1.0,2.0,-6.0,2025-26,LeBron James
LeBron,James,2544,22501228,2025-12-14 15:00:00,Los Angeles,Lakers,Phoenix,Suns,Regular Season,,,,1,0,36.14,26.0,4.0,2.0,2.0,17.0,8.0,0.471,5.0,1.0,0.2,14.0,9.0,0.643,2.0,1.0,3.0,3.0,8.0,8.0,2025-26,LeBron James
